time_s,command,measurement_rpm,speed_rpm
2.7800,0.46789,1194.420,1205.654
2.7900,0.42824,1196.935,1203.890
2.8000,0.45961,1195.725,1205.213
2.8100,0.41975,1199.007,1202.646
2.8200,0.49207,1194.017,1207.144
2.8300,0.41446,1198.118,1203.998
2.8400,0.44856,1197.984,1204.252
2.8500,0.47787,1194.696,1207.324
2.8600,0.40586,1199.664,1203.341
2.8700,0.44349,1199.895,1203.130
2.8800,0.48931,1195.129,1207.345
2.8900,0.44331,1195.995,1206.973
2.9000,0.41831,1199.467,1204.204
2.9100,0.44575,1199.505,1204.180
2.9200,0.41730,1202.623,1201.412
2.9300,0.42773,1204.190,1199.750
2.9400,0.43503,1204.745,1198.851
2.9500,0.44542,1204.088,1198.986
2.9600,0.42107,1206.147,1196.768
2.9700,0.44380,1205.452,1196.821
2.9800,0.44760,1204.422,1197.239
2.9900,0.50388,1197.416,1203.068
3.0000,0.41418,1201.071,1200.041
3.0100,0.41557,1204.087,1197.255
3.0200,0.46220,1201.637,1199.065
3.0300,0.45932,1199.820,1200.533
3.0400,0.39840,1204.849,1196.073
3.0500,0.49929,1198.260,1201.502
3.0600,0.42833,1200.242,1199.895
3.0700,0.38909,1206.215,1194.561
3.0800,0.48498,1200.982,1198.664
3.0900,0.43254,1202.127,1197.564
3.1000,0.40866,1205.702,1194.201
3.1100,0.46642,1202.526,1196.527
3.1200,0.44184,1202.429,1196.400
3.1300,0.43410,1203.178,1195.531
3.1400,0.47854,1199.002,1198.978
3.1500,0.44726,1198.773,1199.286
3.1600,0.43753,1199.633,1198.644
3.1700,0.42766,1201.450,1197.075
3.1800,0.45304,1200.269,1198.008
3.1900,0.45332,1199.216,1198.935
3.2000,0.46899,1196.605,1201.339
3.2100,0.44555,1196.891,1201.398
3.2200,0.41696,1200.247,1198.698
3.2300,0.44503,1200.114,1198.800
3.2400,0.46666,1197.653,1200.985
3.2500,0.45876,1196.382,1202.330
3.2600,0.37346,1204.536,1195.402
3.2700,0.43335,1205.102,1194.497
3.2800,0.44751,1204.044,1194.990
3.2900,0.51963,1195.298,1202.419
3.3000,0.41903,1198.632,1199.882
3.3100,0.43177,1200.146,1198.663
3.3200,0.40846,1203.986,1195.241
3.3300,0.44937,1202.869,1195.886
3.3400,0.45803,1200.954,1197.343
3.3500,0.43897,1201.358,1196.910
3.3600,0.49726,1195.385,1202.113
3.3700,0.41025,1199.650,1198.740
3.3800,0.43898,1200.235,1198.258
3.3900,0.46440,1197.985,1200.245
3.4000,0.41068,1201.864,1196.980
3.4100,0.41120,1205.167,1193.882
3.4200,0.49586,1198.840,1199.058
3.4300,0.46013,1197.228,1200.605
3.4400,0.43281,1198.801,1199.461
3.4500,0.43966,1199.424,1199.019
3.4600,0.45479,1198.327,1200.051
3.4700,0.46454,1196.322,1201.988
3.4800,0.38663,1203.040,1196.342
3.4900,0.43182,1203.959,1195.255
3.5000,0.48668,1198.797,1199.497
3.5100,0.47483,1195.610,1202.445
3.5200,0.39439,1201.576,1197.531
3.5300,0.42860,1203.038,1196.092
3.5400,0.41424,1205.854,1193.320
3.5500,0.44685,1204.746,1193.790
3.5600,0.48324,1199.827,1197.753
3.5700,0.44267,1199.960,1197.662
3.5800,0.49885,1193.985,1202.991
3.5900,0.44768,1194.366,1203.197
3.6000,0.43187,1196.427,1201.870
3.6100,0.42383,1199.095,1199.816
3.6200,0.46031,1197.456,1201.352
3.6300,0.44115,1198.120,1200.986
3.6400,0.42931,1199.983,1199.492
3.6500,0.43666,1200.802,1198.760
3.6600,0.43319,1201.886,1197.719
3.6700,0.44661,1201.367,1198.009
3.6800,0.45764,1199.718,1199.352
3.6900,0.42709,1201.599,1197.702
3.7000,0.44995,1200.748,1198.315
3.7100,0.46779,1198.075,1200.627
3.7200,0.45500,1197.148,1201.622
3.7300,0.43735,1198.266,1200.880
3.7400,0.44283,1198.645,1200.693
3.7500,0.43756,1199.550,1200.004
3.7600,0.44377,1199.662,1199.939
3.7700,0.43998,1200.171,1199.511
3.7800,0.44867,1199.670,1199.935
3.7900,0.47308,1196.590,1202.699
3.8000,0.42472,1199.171,1200.701
3.8100,0.41756,1202.188,1198.083
3.8200,0.44108,1202.248,1197.827
3.8300,0.45607,1200.670,1199.025
3.8400,0.43692,1201.375,1198.334
3.8500,0.47181,1198.200,1201.033
3.8600,0.48366,1194.168,1204.777
3.8700,0.42570,1196.969,1202.799
3.8800,0.45620,1196.100,1203.833
3.8900,0.41445,1199.883,1200.804
3.9000,0.46760,1197.403,1203.008
3.9100,0.49552,1192.233,1207.825
3.9200,0.44236,1193.532,1207.345
3.9300,0.38467,1200.931,1201.319
3.9400,0.45174,1200.073,1201.976
3.9500,0.47208,1197.125,1204.570
3.9600,0.44900,1197.078,1204.846
3.9700,0.41877,1200.322,1202.197
3.9800,0.42893,1202.033,1200.622
3.9900,0.44174,1202.122,1200.340
4.0000,0.41229,1205.386,1197.228
